model_name,developer,model_type,wh_per_query,wh_per_100_queries,co2_g_per_query,co2_g_per_100_queries,led_10W_seconds,wh_per_1000_queries,co2_g_per_1000_queries
Phi 1.5,Microsoft,Text,6.29e-06,0.000629,2.62e-06,0.000262,0.0023,0.00629,0.00262
Phi 2,Microsoft,Text,9.86e-06,0.000986,4.11e-06,0.000411,0.0036,0.00986,0.00411
Phi 4,Microsoft,Text,2.874e-05,0.002874,1.198e-05,0.001198,0.0103,0.02874,0.01198
Aya 23 8B,Cohere,Text,1.782e-05,0.001782,7.43e-06,0.000743,0.0064,0.01782,0.00743
OLMo 1.7B,Allen AI,Text,1.683e-05,0.001683,7.02e-06,0.000702,0.0061,0.01683,0.00702
OLMo 1B,Allen AI,Text,5.59e-06,0.000559,2.33e-06,0.000233,0.002,0.00559,0.00233
OPT 2.7B,Meta,Text,8.06e-06,0.000806,3.36e-06,0.000336,0.0029,0.00806,0.00336
OPT 125M,Meta,Text,1.94e-06,0.000194,8.1e-07,8.1e-05,0.0007,0.00194,0.00081
Mistral 7B,Mistral AI,Text,1.913e-05,0.001913,7.98e-06,0.000798,0.0069,0.01913,0.00798
Ministral 8B 2410,Mistral AI,Text,2.088e-05,0.002087,8.7e-06,0.00087,0.0075,0.02087,0.0087
Falcon 7B,TII UAE,Text,1.587e-05,0.001587,6.62e-06,0.000662,0.0057,0.01587,0.00662
Llama 3 8B,Meta,Text,1.733e-05,0.001733,7.23e-06,0.000723,0.0062,0.01733,0.00723
Llama 2 7b,Meta,Text,1.644e-05,0.001644,6.86e-06,0.000686,0.0059,0.01644,0.00686
Llama 3.1 8B,Meta,Text,1.738e-05,0.001738,7.25e-06,0.000725,0.0063,0.01738,0.00725
Llama 2 13b,Meta,Text,2.61e-05,0.00261,1.088e-05,0.001088,0.0094,0.0261,0.01088
SmolLM2 1.7B,HuggingFace,Text,7.71e-06,0.000771,3.21e-06,0.000322,0.0028,0.00771,0.00322
SmolLM 1.7B,HuggingFace,Text,7.65e-06,0.000764,3.19e-06,0.000319,0.0028,0.00764,0.00319
SmolLM 135M,HuggingFace,Text,7.28e-06,0.000728,3.04e-06,0.000304,0.0026,0.00728,0.00304
SmolLM 360M,HuggingFace,Text,8.09e-06,0.000809,3.38e-06,0.000337,0.0029,0.00809,0.00337
Gemma 2B,Google,Text,8.68e-06,0.000868,3.62e-06,0.000362,0.0031,0.00868,0.00362
